Region,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Arica y Parinacota,Arica y Parinacota,Arica y Parinacota,Arica y Parinacota,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,9,0,1,2,0,0,3,1,6,0,0,0,0,7,1,0,0,1,0,0,2,1,7,1,4,1,2,0,1,1,2,0,2,0,0,4,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-10,9,3,0,1,0,0,2,7,0,0,0,0,2,1,6,0,1,0,1,3,0,0,0,0,2,0,0,0,0,0,1,2,0,1,20,0,4,1,1,2,0,1,0,0,18,1,1,1,0,0,0,0,2,1,0,1,7,1,0,2,0,1,0,0,8,1,0,8,1,0,4,0,0,0,0,1,4,0,0,0,0,1,0,0,2,1,2,3,0,1,0,0,0,1,1,0,3,0,0,0,2,20,1,0,3,7,1,5,2,1,0,0,1,0,0,0,2,0,0,1,1,0,1,1,0,0,1,0,0,2,0,0,0,0,13,4,1,4,1,4,2,0,0,0,1,0,0,0,2,1,0,0,2,1,0,8,0,17,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,11,0,1,0,2,3,1,1,0,0,13,1,0,0,9,0,0,1,3,0,0,0,0,0,1,1,0,0,2,1,16,0,0,1,0,0,1,0,1,0,2,4,1,3,0,2,0,20,0,1,5,1,1,3,0,5,1,0,0,2,6,0,10,0,0,3,1,6,1,4,2,10,0,5,2,2,1,1,0,10,0,2,8,2,0,3,3,0,0,0,0,8,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,1,6,3,5,0,1,1,0,1,0,1,11,7,3,0,11,1,4,0,22,5,11,0,0,16,0,1,4,1,0,0,1,0,0,0,1,0,3,0,2,0,0,0,0
2020-02-11,4,4,0,0,0,1,0,3,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,1,0,9,0,0,0,0,1,0,1,0,0,0,1,5,1,0,1,0,0,0,0,2,0,0,5,1,0,2,0,0,0,0,0,2,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,11,1,0,3,3,2,0,0,3,0,0,0,0,0,0,1,0,0,2,0,1,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,1,7,0,2,0,7,2,0,1,1,0,8,0,0,0,6,0,0,1,1,0,0,0,0,0,0,1,0,5,1,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3,1,12,0,1,3,3,1,1,0,2,0,0,0,0,6,0,5,0,0,0,1,3,1,8,2,10,3,0,5,2,4,0,0,12,0,2,10,0,0,2,0,0,0,0,0,10,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,2,0,3,0,0,0,0,0,0,1,3,4,0,0,5,1,2,0,6,0,13,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,2,0,1,0,0,0,0
2020-02-12,6,2,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,1,0,2,0,3,0,0,0,0,0,5,2,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,14,0,0,3,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,5,0,0,1,0,0,3,1,0,0,1,0,0,1,0,0,0,0,0,1,0,3,0,4,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,9,0,1,0,4,4,0,0,0,0,4,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,2,0,2,1,0,0,19,1,2,4,2,0,0,0,2,2,0,0,0,8,0,2,1,1,2,2,3,0,6,2,4,0,2,1,1,1,0,0,3,0,4,5,1,0,0,4,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,2,0,0,3,0,4,1,8,2,11,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-13,4,4,0,0,0,0,0,4,0,0,0,1,0,1,7,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,1,0,0,1,6,0,1,0,1,1,2,0,0,0,4,0,1,0,2,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,2,2,0,6,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,3,0,0,0,0,0,0,8,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,2,0,3,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,3,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,3,0,1,0,3,1,0,0,0,0,1,0,0,0,4,1,0,1,0,0,0,2,0,0,0,0,1,1,0,0,2,1,0,1,1,0,1,1,0,1,1,0,2,2,0,3,0,18,0,0,6,1,1,0,0,3,0,0,0,2,7,0,2,0,0,0,1,5,0,6,1,3,2,2,2,1,1,1,0,4,0,4,11,2,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,2,0,0,3,0,2,0,8,2,7,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
2020-02-14,6,4,0,0,0,0,1,2,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,4,0,0,3,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,6,0,0,0,1,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,4,0,1,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,1,1,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0,0,1,2,0,1,1,0,0,1,1,0,2,0,23,0,1,2,4,2,1,2,2,0,0,2,1,6,0,5,0,0,0,0,2,0,4,1,8,0,0,4,1,4,1,0,6,0,2,15,1,0,2,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4,2,0,0,0,0,0,0,0,7,6,0,0,2,0,3,0,8,2,13,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2020-02-15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,2,1,4,0,1,4,0,1,2,0,7,0,0,2,0,5,0,0,0,0,0,1,1,0,8,1,4,0,0,1,1,6,0,1,4,0,3,6,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,16,1,0,6,0,3,2,0,3,1,0,3,1,2,0,1,0,0,0,0,3,0,3,2,1,2,1,1,0,4,0,1,2,0,2,2,2,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-17,15,4,0,1,0,0,1,16,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,17,0,4,3,1,3,0,1,2,0,11,3,2,0,1,0,0,0,3,0,0,1,11,0,2,0,0,0,0,0,13,2,0,6,0,3,2,0,0,0,0,1,3,1,0,0,2,0,0,0,0,3,1,4,0,0,0,1,0,1,3,0,2,0,0,0,0,24,1,1,0,1,1,1,2,0,0,3,0,1,0,0,1,1,0,3,0,1,1,0,1,0,1,0,1,0,1,1,0,0,15,3,1,5,1,2,1,1,1,0,0,0,0,1,1,0,1,0,0,2,0,8,0,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,1,1,3,6,0,1,0,8,2,0,0,0,0,8,0,1,0,4,0,1,2,5,0,0,1,0,1,0,0,2,2,2,0,7,0,0,0,0,0,0,0,0,1,1,2,5,3,0,1,2,26,1,1,7,1,0,1,0,7,1,0,0,3,9,0,5,0,1,1,0,5,2,6,1,8,0,1,4,4,5,0,0,9,0,4,12,2,0,2,5,1,0,0,0,6,0,1,0,1,6,0,0,0,0,2,0,0,0,1,0,3,1,0,4,2,2,0,0,0,1,0,8,11,1,0,9,0,5,0,18,6,22,0,0,11,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0
2020-02-18,3,2,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,1,10,0,2,0,1,2,0,0,0,1,6,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,1,4,0,0,3,0,0,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,4,1,0,0,2,0,0,0,14,0,1,0,3,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,9,3,0,3,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,1,2,1,1,0,3,1,3,0,1,1,6,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,5,0,0,0,0,0,1,0,0,0,1,1,0,1,2,1,0,16,0,1,6,2,1,2,0,5,1,0,0,1,7,0,3,0,0,0,0,3,0,5,0,6,0,3,2,1,6,0,1,4,0,4,11,0,0,3,5,0,0,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,1,1,2,0,9,0,5,0,0,5,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0
2020-02-19,12,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,1,13,0,2,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,2,2,0,1,0,0,4,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,4,0,0,1,0,4,0,0,0,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,3,1,0,1,1,0,1,0,0,0,0,4,0,1,0,5,0,22,1,1,5,0,3,2,1,6,1,0,0,0,4,0,1,1,0,1,3,5,0,3,2,9,1,4,2,1,0,1,0,2,0,1,4,1,0,2,4,0,0,0,0,7,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,4,1,1,0,6,0,2,0,11,0,7,0,0,6,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,1
2020-02-20,1,2,0,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,1,0,0,3,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,3,6,0,2,0,1,0,0,1,3,0,0,6,0,0,2,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,7,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,5,0,0,1,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0,15,2,0,8,2,0,3,0,4,0,0,1,1,3,0,7,1,1,0,1,1,0,8,0,6,0,2,1,1,5,1,0,3,0,1,12,1,0,0,4,3,0,0,0,6,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,1,7,0,0,3,0,3,0,9,4,3,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-02-21,5,3,0,0,1,0,0,5,0,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,3,0,0,0,1,0,0,0,5,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,0,7,0,0,3,0,0,0,1,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,1,2,0,1,0,1,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2,0,2,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,1,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,3,1,0,0,1,0,6,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1,15,0,1,8,2,3,4,0,6,1,3,1,0,10,0,4,0,0,2,2,1,0,7,2,5,2,0,4,1,5,1,1,3,0,4,6,2,0,2,2,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,2,3,1,0,4,0,1,0,5,1,8,0,0,2,0,0,0,0,1,1,0,2,0,0,0,0,2,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,0,4,0,0,0,1,0,3,0,1,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-24,18,7,0,0,0,1,1,11,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,6,5,17,0,7,0,0,1,1,0,1,1,18,1,1,1,0,3,0,0,4,0,1,0,15,0,2,2,1,0,1,1,10,0,0,7,1,1,9,0,0,0,0,0,2,0,1,2,2,0,0,0,1,0,0,5,0,2,0,0,0,2,0,0,2,0,1,0,1,15,1,1,2,2,2,2,0,0,0,0,1,2,1,0,2,0,0,2,0,0,0,0,0,0,2,3,1,1,0,0,0,0,16,2,1,2,1,1,4,0,3,1,2,0,0,0,0,0,0,0,0,0,1,13,0,12,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,1,0,8,0,0,1,12,2,0,0,1,0,9,1,1,1,9,1,0,1,3,0,0,0,0,0,0,0,0,2,1,0,10,1,0,1,0,0,3,0,0,1,1,3,0,2,0,0,0,22,0,0,5,0,1,0,0,2,0,1,0,0,1,1,5,0,0,0,0,3,0,6,1,8,0,3,3,0,1,2,0,5,0,1,13,0,0,3,0,0,1,0,0,10,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,1,1,2,0,0,0,1,0,0,0,5,7,1,0,6,1,6,0,15,2,16,0,2,8,0,0,0,0,2,0,0,0,1,1,1,0,3,0,0,0,0,1,0
